shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TAE:AUTO_6042086,49.34566,1.02084,17,8853
TAE:AUTO_6042086,49.34811,1.02116,18,9127
TAE:AUTO_6042086,49.35172,1.01328,19,9826
TAE:AUTO_6042086,49.35433,1.01135,20,10149
TAE:AUTO_6042086,49.3579,1.0116,21,10546
TAE:AUTO_6042086,49.36051,1.01271,22,10847
TAE:AUTO_6042086,49.36414,1.01346,23,11255
TAE:AUTO_6042086,49.36101,1.01303,24,11604
TAE:AUTO_6042086,49.35773,1.00993,25,12033
TAE:AUTO_6042086,49.35543,1.00789,26,12329
TAE:AUTO_6042086,49.35413,1.00508,27,12579
TAE:AUTO_6042086,49.3504,1.00028,28,13121
TAE:AUTO_6042086,49.34817,0.99549,29,13548
TAE:AUTO_6042086,49.34796,0.9919,30,13810
TAE:AUTO_6042086,49.34474,0.98413,31,14479
TAE:AUTO_6042086,49.34285,0.97299,32,15315
TAE:AUTO_6042086,49.34226,0.96797,33,15686
TAE:AUTO_6042086,49.34205,0.96597,34,15833
TAE:AUTO_6042086,49.34226,0.95914,35,16330
TAE:AUTO_6042086,49.34308,0.95152,36,16891
TAE:AUTO_6042086,49.34469,0.94618,37,17318
TAE:AUTO_6042086,49.34751,0.93807,38,17986
TAE:AUTO_6042086,49.3501,0.93283,39,18463
TAE:AUTO_6042087,49.35,0.9328,1,0
TAE:AUTO_6042087,49.34741,0.93807,2,479
TAE:AUTO_6042087,49.34436,0.94694,3,1207
TAE:AUTO_6042087,49.34301,0.95149,4,1570
TAE:AUTO_6042087,49.3421,0.96027,5,2216
TAE:AUTO_6042087,49.34197,0.96598,6,2631
TAE:AUTO_6042087,49.34226,0.96835,7,2807
TAE:AUTO_6042087,49.34271,0.97306,8,3152
TAE:AUTO_6042087,49.34456,0.98418,9,3986
TAE:AUTO_6042087,49.34789,0.99222,10,4678
TAE:AUTO_6042087,49.34809,0.99558,11,4923
TAE:AUTO_6042087,49.35047,1.00057,12,5372
TAE:AUTO_6042087,49.35438,1.00556,13,5938
TAE:AUTO_6042087,49.35535,1.00794,14,6142
TAE:AUTO_6042087,49.3579,1.0116,15,6531
TAE:AUTO_6042087,49.36051,1.01271,16,6832
TAE:AUTO_6042087,49.36414,1.01346,17,7239
TAE:AUTO_6042087,49.36101,1.01303,18,7589
TAE:AUTO_6042087,49.35773,1.00993,19,8018
TAE:AUTO_6042087,49.35409,1.01162,20,8441
TAE:AUTO_6042087,49.35172,1.01312,21,8726
TAE:AUTO_6042087,49.34788,1.02134,22,9460
TAE:AUTO_6042087,49.34566,1.02084,23,9710
TAE:AUTO_6042087,49.342174,1.021971,24,10106
